C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
50900015,Customer#050900015,",qEDVpbIl83w8bXHDlAf",5,15-518-132-4348,9215.91,BUILDING,"uriously regular packages should have to boost-- carefully regular deposits haggle furiously at the even, e"
50900016,Customer#050900016,Q3ETKXJEB3Fizprx,8,18-817-219-5736,9799.50,HOUSEHOLD,"es. blithely bold accounts boost ironic requests. ironic, express foxes nag furiously final, special"
50900017,Customer#050900017,eXZ2hdwRuBA12WKhSEgS8XIxRt,1,11-923-894-9679,6349.83,AUTOMOBILE,final accounts. blithely busy decoys doze slyly after the blithely
50900018,Customer#050900018,"pa,pAHP0qbCv8esoMzo3ZlSpB",4,14-753-198-7596,8693.24,AUTOMOBILE,are slyly ironic foxes. blithely
50900019,Customer#050900019,"fmeVVqKJdgxKvI5e8OFJ,LNoEIZqWI3O5F",2,12-840-238-3962,3351.85,FURNITURE,haggle. requests boost quickly even pinto beans. blithely furious accounts haggle carefully furiously regular
50900020,Customer#050900020,aMTUJ2mPFzOE2o1CfHw,16,26-290-842-9105,1546.90,AUTOMOBILE,ffily against the furiously regular deposits. fluffily e
50900021,Customer#050900021,"Aj6,38rWgK",7,17-683-502-4484,3629.79,MACHINERY,"hs. ironic, regular notornis so"
50900022,Customer#050900022,"mDmI0 CVh6yDETat8fYyNTMg,ZgRs",12,22-423-485-6783,8861.31,MACHINERY,into beans boost. slyly special
50900023,Customer#050900023,i87REeZca1CdAkuGSnTJ6qs4ml45,19,29-346-819-9636,1136.64,FURNITURE,osits. final deposits sleep fluffily: theodolites above the blithely even warthogs might cajole
50900024,Customer#050900024,OpJ99 KRTo,12,22-318-462-1625,5430.26,AUTOMOBILE,ully ironic pinto beans wake along the furiously even requests. f
50900025,Customer#050900025,"8J5p5lWfI,d7AM3oG49hc8nGAkhB6uFlbHmz",6,16-500-849-3005,8365.50,AUTOMOBILE,es are carefully quickly stealthy foxes. slyly express deposits sleep blithely regu
50900026,Customer#050900026,oA6TkSAY8pwWtB08bLYQjdUQGWbg2mSsE,11,21-537-810-7546,6057.62,MACHINERY,out the carefully regular excuses haggle slyly according to the express courts. fluffily even requests
50900027,Customer#050900027,9IvQKlQ6p9MIshwNtQb6 Wr5ef1OEQCM6,21,31-248-192-5531,3438.42,BUILDING,haggle above the quickly regular foxes. furiously final depos
50900028,Customer#050900028,"PDOsfN8vXlcHUk,X13V9B4LMF",20,30-952-742-1829,4439.15,BUILDING,ironic accounts are carefully busily
50900029,Customer#050900029,"ESQKtqBzGZ9OVhwr,aD1c8hussZWzgs66",16,26-256-980-8935,4812.78,FURNITURE,oost slyly about the slyly unusual deposits. carefully final dugouts nag. quickly ironic i
50900030,Customer#050900030,pc4Li7petcegwJetC1omZnsg,4,14-665-469-7995,3423.52,HOUSEHOLD,ar accounts boost fluffily final packages. fluffily even escapades boost about the furiously even ac
50900031,Customer#050900031,9hX91geQMp,15,25-599-290-8279,7038.80,FURNITURE,nto beans serve. carefully special decoys use furiously in place of the
50900032,Customer#050900032,A2D rxPUeKqwbNNKLFGnX,0,10-594-618-6589,5153.08,FURNITURE,"ges. furiously final instructions haggle carefully. final, regular accounts haggle across the pending, bo"
50900033,Customer#050900033,Eu9nzfBcVjHib2oQenzzE2PEr,4,14-729-613-8104,2745.24,FURNITURE,"old deposits. slyly final requests wake furiously ironic asymptotes. pending, fluffy theodolites haggle"
50900034,Customer#050900034,"mlD2E0iVIMIwc f4BuhF PqUju,v",19,29-796-881-5415,3160.09,AUTOMOBILE,eans cajole blithely about the packages. regular acc
50900035,Customer#050900035,"QGTNAzQX3m,wetC3eSeHZ977OmuaDge2AmzMKDn",15,25-156-129-6588,1545.13,HOUSEHOLD,"final, express packages. slyly even pinto beans haggle fluf"
50900036,Customer#050900036,U4AyAar RrEhknnkfxdHB Wjirp51,9,19-231-714-1981,6882.05,MACHINERY,beans are quickly fluffily ironic accounts. bli
50900037,Customer#050900037,"IFcMUm,vQBvOLzGF tAXj73UhHHIws",5,15-779-896-3210,-272.98,AUTOMOBILE,ideas? enticingly pending deposits among the fluffily express packag
50900038,Customer#050900038,uw9egY0FyODU,0,10-304-286-9653,8019.97,FURNITURE,y even packages solve quickly against the slyly silent packages. ideas affix furiously against the r
50900039,Customer#050900039,UDfifOHU8042x,4,14-942-968-7406,6707.52,MACHINERY,ages. blithely ironic packages cajole blithely across the f
50900040,Customer#050900040,"oVm3K eUQqq0s7,KBHbVqMIJl8c8RuS4Cwo",4,14-658-171-9296,3341.26,HOUSEHOLD,nto beans about the requests wake
50900041,Customer#050900041,Omh7r7sRuiAhcF,10,20-852-489-5547,-489.16,HOUSEHOLD,tructions dazzle carefully! fur
50900042,Customer#050900042," AmZAzrxtphQ7Rn,LO26wU2DbLj6",17,27-472-417-1788,4639.88,MACHINERY,ccounts wake furiously. furiously final deposits are dogge
50900043,Customer#050900043,u7xSaZBHpUgmIhbBnHrnDA wE,11,21-901-405-3877,1447.20,HOUSEHOLD,"counts haggle fluffily blithely ironic ideas. regular sauternes cajole furiously along the regular, un"
50900044,Customer#050900044,MAMznUjOOOK4HCDovcC,15,25-414-269-8913,-12.54,HOUSEHOLD,ages haggle above the blithely pending accounts. carefully
50900045,Customer#050900045,CtrVLxaV10TsthQPs7dXVjvvojjznQu9uSWwp6e,4,14-902-750-7012,7244.37,HOUSEHOLD,ding to the slyly final asymptotes nag about the always
50900046,Customer#050900046,"IVFTL7treN1YTbGCzsp,fi9qO14h",5,15-840-866-6896,6215.34,MACHINERY,s are blithely along the furiously express pearls. furiously bold accounts sleep blithely again
50900047,Customer#050900047,5zCSvQLEN6XTjQvhfaVD0aJm1b20OQN1,3,13-573-850-7708,3260.67,BUILDING,"y unusual requests use against the theodolites. regular, final pinto beans solve carefully above the"
50900048,Customer#050900048,"eNU5,oQL9CmWdSP ",19,29-896-429-6682,9041.34,HOUSEHOLD,"the furiously bold theodolites. final, pending requests wake. carefu"
50900049,Customer#050900049,QsECWkphRDIzdi4C0nBaekv vIyOrCJxrXRt OwS,24,34-761-896-5047,1881.71,HOUSEHOLD,"ove the busy, ironic somas. unusual deposits among the quickly regular pack"
50900050,Customer#050900050,HzoBaha2WA YiPMzoyvsc3p,2,12-817-123-3929,9901.86,MACHINERY,ronic packages. carefully final packages integrate fluffily bold accounts. carefully ironic dependencies wake
50900051,Customer#050900051,5RY3iPX2Bf5lHgg7NhEf4EXXwLp2pAniQ5iQSB,11,21-858-869-7999,-424.20,MACHINERY,"efully slow ideas wake furiously throughout the silent, final platelets; silently unusual packages shall are regu"
50900052,Customer#050900052,"drcSSWuUv,XmCLhp4QKQdHjpzgfX1",13,23-851-125-2740,7421.82,MACHINERY,ing to the stealthily enticing foxes. quickly final requests cajole slyly? packages cajole quickly blithely i
50900053,Customer#050900053,TavS8J3tqz5CT4TO1uJaNaDfMdNB,1,11-627-545-7461,7506.71,BUILDING,courts boost blithely furiously ironic foxes. furiously f
50900054,Customer#050900054,pqhoQt5E4UaMk1NrsTPUvBIiJ N,0,10-312-591-4120,4388.80,HOUSEHOLD,"uctions impress furiously ironic, final deposits. blithely re"
50900055,Customer#050900055,vVL thsdEx6R,5,15-503-979-7184,5536.45,MACHINERY,al ideas. dependencies boost furiously-- slyly un
50900056,Customer#050900056,DGBILJN79oZTkt3,3,13-605-951-6649,186.39,HOUSEHOLD,the ideas? silent requests sleep
50900057,Customer#050900057,kZCJMWos3b2ZgkQ0BfPsQ13GruShD5yKWG,19,29-936-481-4537,6657.56,AUTOMOBILE,"s wake through the fluffily ironic requests. blithely ironic dependencies use unusual, special packages. quic"
50900058,Customer#050900058,"Y0s19pyXzo2,CJ7uKl6A6TzSzYQu",21,31-518-349-1704,-391.19,BUILDING,luffily silent accounts run carefully. blithely express instructions cajole. regular d
50900059,Customer#050900059,ZNJmYnNars2I,8,18-696-336-1840,1227.59,HOUSEHOLD,leep furiously blithely ironic deposits
50900060,Customer#050900060,"JxePaD6QipGvrSv,fnll ezctf52Sa",24,34-786-659-6429,5047.89,HOUSEHOLD,leep slyly final platelets. qui
50900061,Customer#050900061,"81caPB3Wpv,EEzg4Zeg2MdabQnAyC5X,",13,23-692-979-7114,5955.03,HOUSEHOLD,blithely regular packages sleep fluffily carefully express requests. excuses detect fu
50900062,Customer#050900062,"7P6heXLqkJ,PB0POOzk",22,32-325-758-9795,6205.56,MACHINERY,s boost blithely. packages sleep. slyly furious reques
50900063,Customer#050900063,ZrWjmhxHtbi8gmzULGADqlM70OrFHTOr,0,10-606-948-9512,3914.57,HOUSEHOLD,"ing instructions. regular, special excuses need to cajole carefully. carefully final"
50900064,Customer#050900064,u5uf 2dGAquWEPr4UZJ,23,33-742-759-8144,-865.70,FURNITURE,express theodolites affix slyly after the furiously final requests. re
50900065,Customer#050900065,"uNStq,jzAqlQhsWtkbf,P6BAFti4VR2G9Xa4",14,24-855-634-2604,1097.62,FURNITURE,y regular Tiresias wake. blithely regular deposits cajole. quickly regular foxes abo
50900066,Customer#050900066,I10aRfXZcX3XU Qty7GJQ6B8Y,22,32-159-557-7581,9691.29,FURNITURE,. blithely ironic ideas after the express epita
50900067,Customer#050900067,vLPk3rwBFh6L8Ba6ac4AqRIkKl0DkEisIl,5,15-371-853-7927,2636.50,AUTOMOBILE,riously ironic foxes sleep carefully along the furiously regular accounts. slyly even platelets among the depos
50900068,Customer#050900068,"YS4,G8b1p18uc3h BU,tTJVKSdzGD8mUC4OB",8,18-648-246-2002,1651.02,HOUSEHOLD,usly ironic deposits. carefully even asymptotes boost pending packag
50900069,Customer#050900069,RD5VcNgAuFlepb5PLYcOsdtKhbl,16,26-753-513-4321,4575.85,MACHINERY,y final requests. ironic deposits boost fluffily. even
50900070,Customer#050900070,rAKs0Mf8kXk5 1aalGFwxMYoClrj6d4XEnNvyr6y,18,28-223-286-2479,3264.26,BUILDING,thely ironic platelets sleep carefully across the blithel
50900071,Customer#050900071,7aJBBTXtz2MkpeLdHpskhIz,16,26-949-386-6891,3365.77,AUTOMOBILE,leep blithely final excuses. slyly even warthogs are furiously furiously unusual gifts. furiously
50900072,Customer#050900072,gJPyIB2r3k,1,11-829-374-5272,4501.28,BUILDING,es sublate carefully against the fluffily silent requests. accounts against the ironic account
50900073,Customer#050900073,Pli0w39tgGi8NkJq7qTj,7,17-228-795-9716,4095.30,AUTOMOBILE,t realms. quickly unusual foxes
50900074,Customer#050900074,zjhz5rkylM5tuCeszyJwCa5PtlZxT,21,31-199-383-1882,784.60,AUTOMOBILE,s sublate quickly at the furiously ir
50900075,Customer#050900075,OaJx8ZxhzfpYIgT4tilJUtbxo,8,18-780-393-8962,6643.33,FURNITURE,slyly among the quickly express requests-- carefully even ideas wake after the carefully bold deposits
50900076,Customer#050900076,"uodG,DIk7HiSmgSK2d Dh",0,10-510-221-4407,2538.34,FURNITURE,s nag. blithely special courts sleep fluffily above the blithely
50900077,Customer#050900077,RRgOS6eNfSqPgdiBRJ,16,26-169-274-5986,1904.58,BUILDING,uriously regular requests nod enticingly bold theodolites. deposits ar
50900078,Customer#050900078,q8OnyMzxPn83,20,30-226-842-4631,9192.31,MACHINERY,ideas. slyly special packages n
50900079,Customer#050900079,"vqfc4U4LzFtAhBif2,j1fIveC",5,15-421-371-7776,9233.04,FURNITURE,packages. slyly special ideas after the fin
50900080,Customer#050900080,"dBBV4IBTIUzBWG09H3MgibU,2QB,,o,kFod ",2,12-790-824-4286,752.69,MACHINERY,express platelets through the carefully express theodolites cajole blithely across the furiously regular ideas
50900081,Customer#050900081,54HrUAKygmW7WjiWQpbJ6MsKP,23,33-664-379-3128,9412.27,AUTOMOBILE,efully express hockey players sublate. slyly special platelets poach furi
50900082,Customer#050900082,kWlIZzZapQh0IhAzUv1cpDYvttRT,17,27-634-728-7480,-924.88,HOUSEHOLD,egular asymptotes according to the regular theodolites nag among the care
50900083,Customer#050900083,bk2fL4MXDXg7RIAy1CtFfo0O5KjqDlJ4,17,27-272-719-4595,7474.17,HOUSEHOLD,lly. bold requests nag according to the deposits. regular packages haggle blithely about the final dependenc
50900084,Customer#050900084,",h9Ofxkga0RvS35Hx7zVlrtdsouNFiDj5Iy",12,22-254-337-9588,7355.15,FURNITURE,"fully unusual pinto beans sleep ironically among the furiously final courts. regular, regular accounts affix quickly"
50900085,Customer#050900085,oVgCK1jhaLP7m4pQosd4l8TpBj,23,33-143-981-7600,9095.01,HOUSEHOLD,yly: final foxes wake. bold accounts haggle. s
50900086,Customer#050900086,ORMWFSvHxTclyHoHMDGn,9,19-884-109-1983,1841.87,HOUSEHOLD,ounts wake alongside of the carefully even warthogs. ir
50900087,Customer#050900087,"Uj DCtDwnezJrV,SAq7aGs8ox5uui8L",21,31-445-325-2661,216.31,AUTOMOBILE,"lites nag slyly express, ironic requests. ironic, bold packages sleep furiously. blithely reg"
50900088,Customer#050900088,MvutcQf Ogb3QOlaCiLtyEACPo8Yf8g,16,26-525-963-8639,3508.32,BUILDING,sleep carefully in place of the thinly pending deposits?
50900089,Customer#050900089,mwVIUex1v8EMT7bxpNe4cG6l73DQbSLp,18,28-403-203-9981,2331.06,HOUSEHOLD,requests are express orbits. furiously silent courts run among the excuses. quickly special dep
50900090,Customer#050900090,Cle4kln9hxLccNt4bCxCWh7,23,33-575-875-1589,5109.06,HOUSEHOLD,"ake blithely about the ironic instructions: final, final deposits haggl"
50900091,Customer#050900091,"fQj,G6d0MZQsHHRWb4djLjj6cNSATadWnxjoPTh",16,26-559-498-9165,-3.16,FURNITURE,en asymptotes at the furiously final deposits
50900092,Customer#050900092,YPqWKdu72tcwbTmYq,18,28-325-631-1462,-180.59,BUILDING,"e quickly against the furiously regular deposits. carefully even platelets haggle across the bold, regular accounts"
50900093,Customer#050900093," 6G,h U6gDWDO3u1lXIU",5,15-643-222-4688,9758.06,MACHINERY,ake alongside of the blithely special exc
50900094,Customer#050900094,"f7lHf3hts2fEz9,qwxKBKk28aPgfq",23,33-760-314-5257,2788.60,BUILDING,packages hinder fluffily according to the slyly quick packages-- quickly even accounts nag boldly. packages
50900095,Customer#050900095,Kns6VzGs4NtkI7JH,18,28-253-730-6427,6045.12,HOUSEHOLD,ns are regular deposits. daringly regular grouches about
50900096,Customer#050900096,aEcXnWJas1k4 6crN,19,29-862-756-3950,2385.12,FURNITURE,bold packages haggle furiously furiously ironic deposits. slyly reg
50900097,Customer#050900097,te3cZZt8ze2sN4,12,22-349-306-8561,724.07,AUTOMOBILE,"equests lose furiously bold requests. pains sublate furiously. ironic, regular ideas cajole ruthlessly ac"
50900098,Customer#050900098,"sqPTqDv7c,rX,37mugdGtQ",10,20-960-122-6662,1339.46,HOUSEHOLD,ost. ironic packages among the dolphins run blithely deposits. fluffily final idea
50900099,Customer#050900099,CxGQHux6U4J,17,27-940-196-3547,4269.05,BUILDING,"ions alongside of the unusual, ironic foxes use furiously final pinto beans. ironic platelets about th"
50900100,Customer#050900100,"ExwOZzjyy8gnSuA3MSsc5xKTMO7l6HYQKkNP6,",22,32-841-973-5016,5919.63,HOUSEHOLD,"latelets haggle regular, regular packages. instructions h"
50900101,Customer#050900101,"lbFk4oY2gddZ,TLXDCC",5,15-238-916-9601,5233.36,FURNITURE,nt accounts. express dependencies play doggedly packages.
50900102,Customer#050900102,",OIa3iAF4Ot,zaesNFMSU2xrk",22,32-829-848-2349,-942.15,BUILDING,quests affix carefully according to the carefully special dependencies. even packages among the blit
50900103,Customer#050900103,0BP2exzA17eVfIMel1Ix5eDTQ0G6aF,8,18-934-660-2155,3222.73,MACHINERY,s breach slyly fluffily even foxes. quickly special packages
50900104,Customer#050900104,uzR0yuqpRd6iN,17,27-943-450-2636,9432.00,MACHINERY,regular packages wake carefully against the furiously special
50900105,Customer#050900105,kUJ1BVYb2h0FHkl9b6rJs4nNdLFa8 MBtEsm5Jtc,4,14-680-592-5478,676.65,AUTOMOBILE,e the quickly final requests use carefully blithely ironi
50900106,Customer#050900106,JJhFpoz2mIndnTR1YNmbk,9,19-901-840-9245,7356.40,BUILDING,"ggle furiously ironic patterns. even, "
50900107,Customer#050900107,6wvtzP9yWl5tW55djf0o ATMBdtf3ReEWfd7L1T,12,22-148-808-1239,8112.17,BUILDING,"tructions boost quickly across the slyly unusual courts. pending, final"
50900108,Customer#050900108,0oCfzIEcIpSp,12,22-680-472-1928,5364.28,BUILDING,de of the ironic ideas. carefully unusual instructions doubt slyly about
50900109,Customer#050900109,sZ90PtiGWkl,19,29-265-128-1225,-583.30,AUTOMOBILE,blithely furious dependencies. fluffily regular dependencies abo
50900110,Customer#050900110,iCgpqQqVpv8eoXdcLzXFQL0h,3,13-680-944-2158,6332.09,AUTOMOBILE,s wake fluffily unusual theodolites. slyly regular instructions alongside of the blithely unusual packages detect s
50900111,Customer#050900111,Y1p2VYIfW9X,3,13-846-815-4585,7453.42,AUTOMOBILE,nic asymptotes. quickly unusual foxes after the bold requests haggle furio
50900112,Customer#050900112,0OtDiXCVD0hT9WTREmvRqg6RzNuW jm,19,29-499-450-5167,-323.19,BUILDING,bold packages nag carefully quickly ironic asymptotes! quickly even theodolites about the even
50900113,Customer#050900113,"qkEk3nWGJyZoLhi,zGVPnrP5uaHUaan4SOPMpn2",9,19-956-318-2370,20.56,BUILDING,uriously ironic pinto beans use blithely alongside of the quickly u
50900114,Customer#050900114,r1LsyQs47HwUIxPGCks2CbVFrf Ykxe,9,19-533-256-3200,2496.03,FURNITURE,ggle fluffily alongside of the never special foxes. special dolphins cajole carefully slyly special theodo
50900115,Customer#050900115,"TMZtQegphkQNLZzx,L,RmtQqzuZEcsQJiz,pv7",1,11-784-862-9654,5705.19,AUTOMOBILE,"ronic, final asymptotes was furious"
50900116,Customer#050900116,KhZ4mlPvZO9uBlx,13,23-142-257-6254,9132.14,AUTOMOBILE,y ironic instructions use; regularly ironic d
50900117,Customer#050900117,KD z5Lm3F00i,5,15-111-107-3698,-970.92,AUTOMOBILE,requests. blithely even requests against the slyly even ideas cajole about the bl
50900118,Customer#050900118,MJpMwO57sdnH1ahCD 2wdozy3U1CTBVDuhs3e75N,7,17-949-929-5216,3693.16,BUILDING,its at the blithely idle accounts cajole slyly blithely ironic deposits. furiously
50900119,Customer#050900119,cVq65vH 4pKIq003bsCI8rongRHSeHnLw5,0,10-913-143-8370,6993.47,AUTOMOBILE,e slyly regular ideas. ironic theodolites according to the carefully pending packa
50900120,Customer#050900120,HOrErftx5u,12,22-685-316-8231,2322.23,MACHINERY,"nic, express excuses are blithely among the furiously regular ac"
50900121,Customer#050900121,"G,woI1fL01peQ",5,15-782-102-9342,-252.35,AUTOMOBILE,fully. carefully final packages about the carefully silent deposits detect idly alongside of the
50900122,Customer#050900122,Zdt0z0mXTc9MOJYRIIsf0puEYT6QGmo7v7,3,13-341-484-6029,2709.82,FURNITURE,equests use slyly ironic accounts. final accounts sleep furiou
50900123,Customer#050900123,"P gKkXVME6WHFP5j,RU9BCBnU uCuAf68hbF",18,28-971-675-7531,1923.84,FURNITURE,fluffily. accounts sleep furiously furiously regular foxes. pending ideas after the
50900124,Customer#050900124,MmH8UNfeTph5hAW0CWDSz,16,26-833-538-8132,2998.04,FURNITURE,w. bold pinto beans solve furiously
50900125,Customer#050900125,"xVDKJq9sxwhaEBIDg63,8OQw6X33",11,21-784-237-8791,6113.74,AUTOMOBILE,have to boost blithely. waters nag carefully among the quickly even theodolites. accounts nag carefully.
50900126,Customer#050900126,UFTGUNh7KOk8ewpeICusnGgdIaWCmQhEve8EU9,3,13-458-584-9027,581.91,FURNITURE,refully ironic accounts cajole furiousl
50900127,Customer#050900127,cuzJyhAbAKoJ 4d9Tc8HJqFItIvdu2Uw,2,12-278-351-2818,-962.96,AUTOMOBILE,urts wake. fluffily pending packages cajole against the special requests. requests
50900128,Customer#050900128,IRbXPs98dE0BzmRVNdttvmNhzGDGYj m,19,29-149-971-6172,5401.36,BUILDING,y express pinto beans. busy dolphin
50900129,Customer#050900129,9LD34ddR2nVX3EHlTHcjURVtHn7ybA0NUGSE,21,31-876-630-1775,6658.20,MACHINERY,"ests wake among the regular, even courts. ironic, regular dolphins haggle express ideas. blit"
50900130,Customer#050900130,bApSputKuz,18,28-630-489-9501,-559.68,HOUSEHOLD,s. carefully regular ideas sleep into
50900131,Customer#050900131,XclreSVRsGnnqqCABG19MduxoTIK5Z,22,32-652-918-2593,7369.47,FURNITURE,pinto beans. permanently quick somas affix fluffily furiously regular foxes.
50900132,Customer#050900132,"v71bxmrhikKkyuayhK7pYCzf,D2hketL",6,16-392-224-6788,7679.28,HOUSEHOLD,uickly thin requests detect carefully fluffily express requests. pending requests believe a
50900133,Customer#050900133,"54M4BS7ALI6nN L19eAc8Xv 2Rq ,ZRo5Q",10,20-432-879-3180,730.01,BUILDING,ole past the final requests. fluffily ironic escapades among the slyly special instructions wake
50900134,Customer#050900134,uQZfWzfbZxrKsVeLRChnIzp,4,14-292-758-6833,2275.73,BUILDING,"ies cajole quickly against the furiously pending accounts. packages are bold,"
50900135,Customer#050900135,MVPjvOmOIf28B9,20,30-196-743-9455,-826.57,BUILDING,onic excuses haggle furiously. pending platelets a
50900136,Customer#050900136,Li 0jErPVUxv6v54rXxFpbB2TV1USMo9z,16,26-202-626-8452,9754.06,FURNITURE,"s alongside of the special, final instructions promise c"
50900137,Customer#050900137,6UGeIaLtDG1AetfJ2nv4Y39s7Qg,14,24-136-576-5074,1573.01,BUILDING,packages cajole carefully-- regular idea
50900138,Customer#050900138,0j70OmaeXyvoWFPFtqgQgCvlEhHWwboQxr,8,18-197-657-9565,2613.86,MACHINERY,ct carefully special asymptotes. slyly regular instructions boost fluffily. final inst
50900139,Customer#050900139,2GmZSM9ZOn7dO6h49RLgyo4qbQs4QF OGzmWtL4,5,15-539-561-4332,6171.85,MACHINERY,osits sleep carefully above th
50900140,Customer#050900140,bcJ ICOWt6sd,11,21-103-123-1811,9322.20,AUTOMOBILE,"y even pinto beans; regular, pending requests ar"
50900141,Customer#050900141,ovT yhrRJ3Jh,24,34-858-580-9581,3368.80,BUILDING,ully ironic pinto beans-- slyly quick in
50900142,Customer#050900142,4T6Bgc1Gn7,12,22-102-534-6076,360.11,HOUSEHOLD,"uriously pending tithes; ironic, pending dolphins nag after the furiously express deposits. blithely final accou"
50900143,Customer#050900143,n3ZGUMXxP9JT,3,13-907-795-8705,337.01,FURNITURE,ackages at the pending deposits cajole along the f
50900144,Customer#050900144,4peDpJqmriz81scgNCIhvAUFzNQxTmP5KZm,17,27-154-952-5553,8121.10,MACHINERY," platelets cajole ironic deposits. regular, express packages engage blithely across the expres"
50900145,Customer#050900145,"cfvSf QbHPKEuo,oPxpQU",10,20-118-903-8023,1450.08,BUILDING,st slyly. accounts use slyly blithely regular requests. sauternes are quickly across t
50900146,Customer#050900146,"8,JNT6,2hjU 5Cx6OnEv,BCDEdUGUEBnVQGwf7",8,18-132-237-8137,4424.57,BUILDING,hely final pinto beans. furiously iron
50900147,Customer#050900147,"d4i5AqSabelzoinZ8yIsp9wwUDO,p6Wj",13,23-563-606-5042,1748.30,BUILDING,gularly special pinto beans. fluffily e
50900148,Customer#050900148,C0oblCB4euu6Rq1UKqQLD2m3sD,8,18-510-373-2330,597.01,FURNITURE,"ly regular packages engage slyly stealthily unusual deposits. even, ironic packages impress slyly after "
50900149,Customer#050900149,",85UrkeUPFLVsvD2z7zr9kYizj9Mz7ODZZ1z",15,25-488-361-3338,-42.91,HOUSEHOLD,"ironic, final pinto beans cajole care"
50900150,Customer#050900150,"vje8rYyr cnkPYN,5cR",19,29-921-433-2399,2761.30,AUTOMOBILE,ackages integrate carefully regular excuses. fl
50900151,Customer#050900151,nM4N8sqV2mHl,8,18-366-463-3983,9184.40,AUTOMOBILE,s use quickly despite the fluffily regular requests. furiously bold platelets haggle s
50900152,Customer#050900152,btg2N4nsKJKP,24,34-700-321-7942,8290.96,MACHINERY,carefully. carefully final requests hinder slyly around the accounts. blithel
50900153,Customer#050900153,"4q3qlLQIPHWDYM7kC1NhomU5Di4wn ,m",23,33-366-463-3326,7190.50,AUTOMOBILE,ven braids wake fluffily ironic requests. theodolites are carefully
50900154,Customer#050900154,E60bbj9c8Rl8tIwC2QX0reZcBf,17,27-697-911-4863,2743.58,MACHINERY,efully special hockey players. bold accounts along the ironic excuses ca
50900155,Customer#050900155,17hTalC5lZ5QoQj9mnbEnzPvCLVLxl8XiQl4,11,21-664-748-9847,8256.05,AUTOMOBILE,ependencies integrate along the slyly final orbits. even
50900156,Customer#050900156,VxsObYn89OOU9Ryh4DyWe3T72BijgyQTP,3,13-514-936-1677,3556.81,BUILDING,s are above the slyly regular platelets. fluffily unusual foxes according to the bold instructions ha
50900157,Customer#050900157,zUlynk3V W8L,4,14-309-367-8105,3244.78,BUILDING,"ckly theodolites. unusual, ironic deposits cajole regular, even instructi"
50900158,Customer#050900158,HL4MvHLcpgah4B9bBMFG0Eu6,8,18-727-679-7854,5967.76,HOUSEHOLD,ld instructions haggle quickly. slowly regular foxes wake. carefully bold packages along the special theodo
50900159,Customer#050900159,PAFeqVEHi1pVHclrzoBVoXYUQ,16,26-942-684-7066,170.45,AUTOMOBILE,he packages. dependencies boost across the furiou
